"","Бренд","Вид","Гарантия","Масса устройства, (кг)","Потребляемая мощность","Страна производства","Тип элемента питания","Уникальное описание","Цвет корпуса","Цена, (р)"
"Oral-B Professional Care 1000 D20.513.1 pink ","Oral-B","зубная щетка","2 года",NA,NA,NA,NA,NA,NA,"3850"
"Oral-B 3D White Deluxe DB4.010","Oral-B","зубная щетка","2 года",NA,NA,NA,NA,NA,NA,"1590"
"Panasonic EW1031S321","Panasonic","зубная щетка","2 года",NA,NA,NA,NA,NA,NA,"1320"
"Panasonic EW-DS90-K520 black","Panasonic","зубная щетка",NA,NA,NA,NA,NA,NA,NA,"1230"
"Panasonic EW-DS90-R520 red","Panasonic","зубная щетка",NA,NA,NA,NA,NA,NA,NA,"1230"
"Panasonic EW-DS90-P520 pink","Panasonic","зубная щетка",NA,NA,NA,NA,NA,NA,NA,"1230"
"Oral-B Professional Care 700 D16 Design Edition","Oral-B","зубная щетка","2 года",NA,NA,NA,NA,NA,NA,"3590"
"Philips HX6012","Philips","насадки для зубных щеток",NA,NA,NA,NA,NA,NA,NA,"980"
"Oral-B EB18-4","Oral-B","насадки для зубных щеток",NA,NA,NA,NA,NA,NA,NA,"1070"
"Oral-B Sonic Complete S18.525.3","Oral-B",NA,NA,NA,NA,NA,NA,NA,"Серый","8540"
"Oral-B PRO 500 Cross Action","Oral-B",NA,NA,NA,NA,NA,"аккумулятор","Новая модель","белый с голубым","2990"
"Philips HX8111","Philips","зубная щетка",NA,NA,NA,NA,NA,NA,NA,"6990"
"Philips HX6072/07","Philips","насадки для зубных щеток",NA,NA,NA,NA,NA,NA,NA,"620"
"Philips HX9352","Philips","зубная щетка",NA,"0.3","2,0 Вт",NA,"литиево-полимерный аккумулятор",NA,"черный","15990"
"Oral-B Professional Care 3000 DUOPACK D20.535.3H","Oral-B","зубная щетка","2 года",NA,NA,NA,NA,NA,NA,"12950"
